sample_index,noisy_mse,denoised_mse,noisy_mae,denoised_mae,noisy_snr,denoised_snr,snr_improved,noisy_si_sdr,denoised_si_sdr,si_srd_improved
150,0.00060852466,0.0003715824,0.01966875,0.012331058,8.866821,11.009052,2.142231,8.862974,10.653175,1.7902012
151,0.0013107171,0.00024437153,0.028813096,0.011530994,11.446964,18.741549,7.2945843,11.446891,18.690853,7.2439623
152,0.0011522598,0.00024317908,0.027091898,0.01070252,11.786927,18.543169,6.756242,11.785114,18.485704,6.70059
153,0.0012460699,0.00013595748,0.02812324,0.0076979464,8.73139,18.352783,9.621393,8.711266,18.301435,9.59017
154,0.00079142273,0.00017284568,0.022492984,0.008891373,6.5781355,13.185635,6.607499,6.7062182,12.977135,6.2709165
155,0.0006301012,0.00064151594,0.020122787,0.014814223,10.171651,10.093679,-0.07797146,10.164214,9.660656,-0.50355816
156,0.0006160528,0.0011685882,0.019771073,0.01671983,8.4015,5.6210637,-2.780436,8.396958,4.2268567,-4.1701016
157,0.0010391219,0.00014795466,0.02569757,0.0076716417,6.849687,15.315065,8.465378,6.8388042,15.18688,8.348076
158,0.0011765555,0.00019083825,0.027406843,0.009844134,11.011929,18.911398,7.8994694,11.0434675,18.855543,7.8120756
159,0.0013808274,0.00020182779,0.029617302,0.010050606,9.823703,18.175287,8.351584,10.018234,18.214,8.195766
160,0.004142284,0.0012843938,0.05133484,0.025302308,8.044703,13.13012,5.0854177,8.075967,12.922642,4.846675
161,0.00069465744,0.00014139422,0.02101402,0.008009325,10.268192,17.181583,6.913391,10.252515,17.103207,6.850692
162,0.0012655067,0.0005823269,0.028351236,0.015240961,9.885949,13.256926,3.3709764,9.887392,13.048599,3.1612072
163,0.0009344211,0.00023570123,0.02435627,0.010733526,12.676028,18.657837,5.9818087,12.67685,18.609606,5.9327555
164,0.0019060653,0.0011587966,0.034863226,0.021285107,9.070921,11.232227,2.1613064,9.059586,10.892707,1.8331213
165,0.0007744609,0.0003992855,0.02221137,0.010433081,9.966827,12.8439865,2.877159,9.968639,12.614722,2.6460829
166,0.0011893286,0.00026114818,0.027471231,0.010171789,10.671339,17.255487,6.5841484,10.654009,17.205475,6.551466
167,0.00093758485,0.00023726559,0.024423525,0.009706432,8.98573,14.953488,5.967758,8.976289,14.813326,5.837037
168,0.00043624922,0.00069192477,0.016677719,0.013151779,9.560957,7.5577145,-2.0032425,9.636057,6.7254395,-2.9106174
169,0.0013386072,0.00038432595,0.029203758,0.011931902,10.054119,15.473653,5.4195337,10.034404,15.366058,5.3316545
170,0.0021648188,0.00051855424,0.03713012,0.016206948,10.8930435,17.099318,6.206274,10.880711,17.033913,6.153202
171,0.0006967278,0.0005222581,0.021038106,0.010994364,8.860581,10.112361,1.2517796,8.948456,9.667475,0.71901894
172,0.00048194712,0.0023375268,0.017509568,0.020621594,9.442167,2.5845952,-6.857572,9.424266,-0.90277255,-10.327039
173,0.001320164,0.00048191153,0.02906171,0.015553433,10.510025,14.886631,4.376606,10.497403,14.749602,4.252199
174,0.0032425972,0.002255454,0.045442596,0.031760793,12.108328,13.684919,1.5765915,12.114796,13.506248,1.3914528
175,0.00051691534,8.587921e-05,0.01816885,0.0063731,8.924733,16.720045,7.795312,8.912939,16.63507,7.7221317
176,0.00035618473,0.0022644757,0.015043647,0.025179913,11.377631,3.3447077,-8.032924,11.379141,0.64340985,-10.735731
177,0.001426978,0.00023882343,0.030185862,0.010080077,8.976066,16.73947,7.763404,8.976292,16.647562,7.6712704
178,0.0016982774,0.00039251221,0.032846954,0.012924018,10.629191,16.990746,6.361554,10.629172,16.927979,6.298806
179,0.00026163357,0.0002630375,0.0128789665,0.008995173,7.5817175,7.5584755,-0.023241997,7.5903807,6.723731,-0.8666496
180,0.0013782461,0.00028974307,0.029600002,0.010566981,10.23629,17.009426,6.773136,10.2202,16.926922,6.7067223
181,0.0007923008,0.0001483205,0.022448882,0.008062511,6.6759205,13.952809,7.276889,6.730091,13.777188,7.047097
182,0.0012186269,0.00021823027,0.02781108,0.0096473945,9.343547,16.813105,7.469558,9.322954,16.765236,7.4422817
183,0.0008709141,0.00043937497,0.023544094,0.012221983,11.799865,14.771265,2.9714003,11.812899,14.631701,2.8188028
184,0.00030642236,0.0008654709,0.013943871,0.014685968,8.331221,3.8219,-4.5093207,8.316175,1.4946908,-6.8214846
185,0.001515558,0.0007357261,0.03099842,0.01558107,10.9316435,14.070208,3.138564,10.986424,13.898739,2.9123144
186,0.0010684647,0.0002527996,0.026072705,0.011829167,12.334013,18.593851,6.259838,12.329824,18.535648,6.205824
187,0.00091532257,0.00047135854,0.024166776,0.012951487,9.762254,12.644482,2.882228,10.150513,12.48042,2.3299074
188,0.0015480006,0.00033509845,0.03138264,0.009956707,6.902608,13.548594,6.6459866,7.197914,13.391915,6.194001
189,0.001174778,0.00020252855,0.02736472,0.010066372,10.612827,18.247524,7.634697,10.607015,18.186184,7.5791693
190,0.0012713714,0.00049555575,0.02838151,0.01443811,9.337761,13.429561,4.0917997,9.314183,13.228607,3.914424
191,0.00064598594,0.00018255961,0.020289531,0.009216172,9.67992,15.168104,5.488184,9.681386,15.03414,5.3527536
192,0.004134577,0.0012976866,0.051270157,0.025951244,10.195975,15.228587,5.032612,10.190987,15.10301,4.9120235
193,0.000611382,0.00033374716,0.019712925,0.0097256275,8.935917,11.564867,2.62895,8.93667,11.252411,2.3157406
194,0.0013555059,0.00034795457,0.029342629,0.012885572,13.054118,18.959908,5.9057894,13.0449915,18.935797,5.8908052
195,0.00085166015,0.0003623859,0.023288224,0.008850675,9.922732,13.633682,3.71095,9.89318,13.55915,3.6659698
196,0.0012649688,0.0016954174,0.02843305,0.02360152,11.1682205,9.896252,-1.2719688,11.186066,9.438457,-1.7476091
197,0.00096866564,0.00018473917,0.024823673,0.00973555,8.825265,16.021414,7.196149,8.802855,15.914311,7.111457
198,0.0045542563,0.0013294559,0.053954445,0.027345536,10.032195,15.37963,5.347435,10.021723,15.252265,5.230542
199,0.003691422,0.0013256121,0.048567146,0.025666142,10.978898,15.426672,4.447774,10.975262,15.318948,4.343686
200,0.0012968233,0.00074468803,0.028689824,0.017511202,10.282583,12.691647,2.4090633,10.289279,12.453526,2.1642466
201,0.0009243778,0.0001286421,0.024300385,0.007208224,9.398024,17.962688,8.564665,9.409697,17.908813,8.499117
202,0.0014913299,0.00025178096,0.030796973,0.010909584,9.097482,16.82299,7.7255087,9.127791,16.734814,7.6070223
203,0.00079234526,0.00018773782,0.022458956,0.008688821,10.574613,16.82824,6.253627,10.581942,16.737759,6.155817
204,0.00087555585,0.00014210677,0.023607636,0.006890489,9.66758,17.56427,7.8966904,9.649445,17.495247,7.8458023
